State,Code,Automobiles,Electric Vehicle
Alabama,AL,2035376,4750
Alaska,AK,171144,1290
Arizona,AZ,2410018,40740
Arkansas,AR,872437,2390
California,CA,14201400,563070
Colorado,CO,1639028,37000
Connecticut,CT,1211171,13350
Delaware,DE,415915,3010
District of Columbia,#N/A,210297,3700
Florida,FL,7841553,95640
Georgia,GA,3495421,34020
Hawaii,HI,483669,14220
Idaho,ID,588362,3500
Illinois,IL,4161655,36520
Indiana,IN,2123748,10360
Iowa,IA,1163751,3660
Kansas,KS,889083,4500
Kentucky,KY,1644497,4220
Louisiana,LA,1315691,3180
Maine,ME,356079,3040
Maryland,MD,1823553,25630
Massachusetts,MA,2003373,30470
Michigan,MI,2691704,17460
Minnesota,MN,1841690,15000
Mississippi,MS,788425,1310
Missouri,MO,1991376,10050
Montana,MT,459081,1650
Nebraska,NE,624907,2710
Nevada,NV,1027503,17380
New Hampshire,NH,460825,4000
New Jersey,NJ,2541125,47830
New Mexico,NM,623955,4150
New York,NY,4232748,51870
North Carolina,NC,3398470,25190
North Dakota,ND,215654,380
Ohio,OH,4247843,21200
Oklahoma,OK,1223848,7080
Oregon,OR,1440848,30290
Pennsylvania,PA,4043715,26770
Rhode Island,RI,381767,2550
South Carolina,SC,1767348,7440
South Dakota,SD,325001,680
Tennessee,TN,2115632,12160
Texas,TX,8088058,80900
Utah,UT,902723,16480
Vermont,VT,193407,3370
Virginia,VA,3057254,30660
Washington,WA,2800370,66810
West Virginia,WV,508663,1010
Wisconsin,WI,1901497,9330
Wyoming,WY,191332,510